Device Time, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Engine Load(%),Engine Load(Absolute)(%)
16-Apr-2017 15:34:12.724,1.11188781,8.23946571,6.05401039,0.06739467,25,964.75,33.33333206,17.64705849
16-Apr-2017 15:34:13.724,1.68669248,7.12817669,6.39889336,0.01047182,15,845.25,40.7843132,22.74509811
16-Apr-2017 15:34:14.724,2.0315752,6.85993481,6.89705753,0.03200454,15,845.25,40.7843132,22.74509811
16-Apr-2017 15:34:15.733,1.30348933,7.85626268,6.24561214,0.05066699,14,1322.5,62.74509811,35.68627548
16-Apr-2017 15:34:16.728,1.38013005,7.43473959,6.20729208,0.01626587,14,1738.25,62.74509811,46.66666794
16-Apr-2017 15:34:17.724,0.46044251,7.89458323,6.13065147,0.03898615,21,1746.75,72.94117737,45.09803772
16-Apr-2017 15:34:18.725,0.42212218,7.2814579,7.08865929,0.05578738,23,1685,66.27451324,39.2156868
16-Apr-2017 15:34:19.736,0.46044251,6.85993481,7.0120182,0.02005416,23,1649,67.45098114,38.4313736
16-Apr-2017 15:34:20.729,0.84364563,7.43473959,6.9353776,0.05898792,23,1642,63.13725662,32.94117737
16-Apr-2017 15:34:21.724,0.15388,7.31977844,6.59049511,0.0231548,28,1248.25,49.80392075,11.76470566
16-Apr-2017 15:34:22.728,0.95860654,7.5880208,6.28393269,0.02804452,28,1248.25,28.23529434,20.7843132
16-Apr-2017 15:34:23.729,0.95860654,7.70298147,5.93904972,0.01530981,27,1236.5,38.03921509,30.19607925
16-Apr-2017 15:34:24.724,0.95860654,7.35809898,6.78209639,0.04374307,27,1379.5,52.54901886,27.84313774
16-Apr-2017 15:34:25.723,0.11555969,7.2814579,6.62881517,0.02282733,27,1396,50.98039246,26.27450943
16-Apr-2017 15:34:26.733,-0.38260436,7.2814579,5.93904972,-0.0223695,28,1417,50.98039246,26.66666603
16-Apr-2017 15:34:27.724,0.26884094,6.93657541,7.20361996,0.03877813,28,1304.5,29.01960754,16.86274529
16-Apr-2017 15:34:28.730,0.19220032,7.24313784,6.78209639,0.0306775,29,1328,38.03921509,21.56862831
16-Apr-2017 15:34:29.723,0.07723938,7.31977844,6.16897154,-0.00516438,28,1284.25,37.25490189,12.54901981
16-Apr-2017 15:34:30.728,0.76700503,7.12817669,7.28026056,0.06055957,29,1295.25,27.84313774,16.07843208
16-Apr-2017 15:34:31.724,0.53708315,7.43473959,6.24561214,0.01031363,29,1225,26.66666794,13.33333302
16-Apr-2017 15:34:32.726,0.72868466,6.82161427,7.05033875,0.02178389,28,1144.5,27.05882454,13.33333302
16-Apr-2017 15:34:33.724,-0.03772156,7.16649723,7.43354177,0.07155675,26,1099,29.41176605,14.90196037
16-Apr-2017 15:34:34.725,0.84364563,6.93657541,6.01569033,-0.04109883,24,1083.5,29.80392265,15.29411793
16-Apr-2017 15:34:35.724,1.57173157,7.5113802,5.05768251,-0.04411644,24,1085,30.19607925,15.29411793
16-Apr-2017 15:34:36.725,0.30716124,6.47673178,7.85506535,0.05727738,24,1107.75,30.98039246,14.90196037
16-Apr-2017 15:34:37.727,-0.11436218,6.89825487,7.39522171,0.03646046,25,1192.75,39.60784531,21.1764698
16-Apr-2017 15:34:38.724,0.76700503,7.08985662,7.08865929,0.0439766,26,1229.5,42.35294342,21.96078491
16-Apr-2017 15:34:39.724,0.46044251,6.97489548,7.3185811,0.05064267,25,1253,41.5686264,20.3921566
16-Apr-2017 15:34:40.725,0.46044251,6.97489548,7.8167448,0.08794075,25,1263.25,40.39215851,19.6078434
16-Apr-2017 15:34:41.723,0.26884094,7.31977844,7.05033875,0.05534536,27,1282,32.54901886,16.47058868
16-Apr-2017 15:34:42.727,0.34548157,7.08985662,7.51018238,0.0723986,28,1228.75,27.05882454,12.94117641
16-Apr-2017 15:34:43.724,0.07723938,6.89825487,6.89705753,0.01340002,29,1207,27.45098114,13.33333302
16-Apr-2017 15:34:44.727,0.46044251,6.32345009,7.70178413,0.03589553,28,1203,27.45098114,13.33333302
16-Apr-2017 15:34:45.723,0.42212218,7.77962208,5.55584669,-0.00555414,27,1130.25,28.62745094,14.11764717
16-Apr-2017 15:34:46.727,0.30716124,7.16649723,6.36057329,-0.00373536,26,1101.5,29.41176605,14.90196037
16-Apr-2017 15:34:47.724,-0.38260436,7.93290329,7.54850292,0.13592786,26,1101.5,29.41176605,14.90196037
16-Apr-2017 15:34:48.729,0.65204406,8.50770855,4.86608076,-0.07006323,24,1089,29.80392265,14.90196037
16-Apr-2017 15:34:49.723,-1.26397157,7.77962208,6.85873699,0.08404404,24,1089,29.80392265,20
16-Apr-2017 15:34:50.726,-0.1526825,7.05153608,7.16529989,0.04390329,25,1160.75,36.47058868,20
16-Apr-2017 15:34:51.729,1.11188781,4.67567682,9.00467491,0.05946666,26,1214,37.64706039,18.8235302
16-Apr-2017 15:34:52.727,0.42212218,6.40009117,7.58682299,0.03171641,25,1217.75,35.29411697,18.8235302
16-Apr-2017 15:34:53.723,0.15388,6.66833305,6.82041693,-0.00853992,26,1161.5,29.01960754,13.72549057
16-Apr-2017 15:34:54.723,-0.07604187,6.55337238,8.12330723,0.08296126,25,1210,33.33333206,18.03921509
16-Apr-2017 15:34:55.725,-0.07604187,7.12817669,5.67080736,-0.05245292,27,1230.25,35.29411697,18.03921509
16-Apr-2017 15:34:56.727,-0.38260436,7.5113802,6.39889336,0.02561253,27,1255.25,35.68627548,18.03921509
16-Apr-2017 15:34:57.723,-0.30596375,6.85993481,6.4372139,-0.02154762,27,1282.75,35.29411697,18.03921509
16-Apr-2017 15:34:58.728,0.57540345,6.59169245,7.85506535,0.06594378,28,1303,35.29411697,17.64705849
16-Apr-2017 15:34:59.727,0.26884094,6.66833305,7.8167448,0.06672198,28,1325.75,35.29411697,17.64705849
16-Apr-2017 15:35:00.726,-0.30596375,6.97489548,7.3185811,0.05004627,28,1334.25,35.29411697,18.43137169
16-Apr-2017 15:35:01.724,-0.68916684,8.0861845,6.01569033,0.04876274,30,1317.75,27.84313774,11.37254906
16-Apr-2017 15:35:02.727,-0.72748721,6.47673178,7.77842474,0.053451,29,1232.75,26.27450943,12.54901981
16-Apr-2017 15:35:03.727,-0.88076842,7.24313784,6.24561214,-0.00194782,29,1286.5,30.19607925,15.29411793
16-Apr-2017 15:35:04.724,-0.30596375,6.74497366,7.08865929,0.01692617,29,1367.75,35.29411697,18.03921509
16-Apr-2017 15:35:05.729,-0.459245,7.24313784,7.08865929,0.05315894,29,1394.5,36.86274719,19.6078434
16-Apr-2017 15:35:06.725,-0.07604187,7.35809898,6.66713572,0.03119749,29,1360,27.05882454,11.76470566
16-Apr-2017 15:35:07.724,0.42212218,6.47673178,8.62147141,0.11904877,31,1245.25,26.27450943,12.54901981
16-Apr-2017 15:35:08.723,-1.18733096,6.97489548,6.78209639,0.01806253,30,1253.75,25.88235283,12.54901981
16-Apr-2017 15:35:09.723,-0.26764342,7.16649723,6.66713572,0.01715338,31,1248.25,25.88235283,12.15686321
16-Apr-2017 15:35:10.724,0.69036436,6.43841124,7.93170595,0.06275362,30,1232.75,26.27450943,12.54901981
16-Apr-2017 15:35:11.728,-0.53588563,7.35809898,7.58682299,0.09774309,29,1182,27.05882454,13.33333302
16-Apr-2017 15:35:12.723,0.07723938,6.59169245,7.08865929,0.00576431,27,1046.75,28.62745094,15.29411793
16-Apr-2017 15:35:13.726,1.57173157,8.0861845,5.59416676,0.03403372,24,899,33.72549057,20
16-Apr-2017 15:35:14.723,0.80532533,7.97122383,7.28026056,0.12251538,19,921.75,35.68627548,19.2156868
16-Apr-2017 15:35:15.728,-1.95373714,7.93290329,8.69811249,0.23544902,18,948.25,40,23.92156792
16-Apr-2017 15:35:16.729,-0.03772156,7.08985662,7.20361996,0.04931647,18,1315.5,54.50980377,32.15686417
16-Apr-2017 15:35:17.722,0.19220032,6.59169245,7.39522171,0.02903193,16,1348.25,54.50980377,29.80392075
16-Apr-2017 15:35:18.724,-1.03404963,6.97489548,5.86240911,-0.04625422,16,1428,63.92156982,38.82352829
16-Apr-2017 15:35:19.729,0.65204406,7.77962208,5.86240911,0.01420552,15,1507.75,62.35294342,35.29411697
